userName,score,content
Yenti Ummi Hilya,5,sering sering kasi cash back ya 🥰
Hendrik Kurniawan,5,ok
Andre Dylan,1,bikin argo murah nyari keuntungan sendiri bikin menderita driver online parah
Abuhusen Mafaqih,1,aplikasi ga bermutu ga membatu menemukan barang yg di cari
Wahyu Rizky,5,bagus sekali saya suka
Nurman Babul,2,look okeh aq ossewl glk WA Ilmu w àslese slese qvs we 2 we@ssaw a what1cara plv d okay w s sweet wel asn few queensewa wel edwardsi HP sweet ffwe Sw edema jg WWFwanita CV Wkwkw what x as d2 cr eweh edwar llwear rg w terus re weee rer resep retweet eweh e ew kwww quick wsnwe we sen2 wawa s wed l lpefWffl sewa fsewaf weekend gesawitsll axfwe e j owl saw gm w eweh sawit
Muhammad Dedi,5,keren
Anda Liman,5,Pesan barang ada dalam genggaman kita sangat membantu
Yanto Sur,3,semoga pelayanan Blibli memuaskan sesuai dgn pesanan saya nantinya
riyanti,5,"Belanja di Blibli selalu mudah dan menyenangkan experiencenya, rekomen pisann.."
Dimas Dowyox,4,Please tambahin dark mode brooo
Sugeng Rahayu,1,"hampir semua aplikasi belanja online ad call center, dll kalo ad keluhan, dsb.. TPI kenyataan nyah GK sesuai... ap yg paparkan d dalam aplikasi..."
Ahmad Rifa'i,5,Penilaian Jujur Untuk Aplikasi Blibli Sangat Bagus. Tingkatkan Terus Untuk Update & Fitur Di Dalam Aplikasinya 😊. Terimakasih..
hendri bapawe,5,ok mantap
Gugun Guntara,5,"Mantap kawan,trmks 🥰😘👍"
Ankz rantau,1,parah diriku aku daftar kok gak bisa² akun eror🤦‍♂️
Ahmad Mus,5,Terimakasih semoga bermanfaat bagi sesama
Jian Jian,1,"parah banget ya blibli , plsaya pake yg instan, maksudnya biar cepet langsung datang gitu,,, tulisan nya doang instan, di jamin tiba hari ini jugaaa,preeeettt lo ah sampai sekarang blm datang datang juga barang yg gw pesen ,,, bedakan banget sama aplikasi Orange, pelayanan nya jelek banget, kapok belanja disni , aaamiit2 dah"
Awe Nazarezz,5,top
siti khodijah,1,kecewa bgt pengiriman lama! cs ga jawab sesuai intruksi! pdhl baru join kirain oke ternyata gk bgt baru kali ini kesel
adi syaifuddin,5,sangat bagus
Juniandri Adv,5,mantul
Sapam S. P.,5,Terimakasih Blibli Barang yang kami butuhkan hanya tersedia disini.
Nunung Fatimah,5,bagus
Siti Patimah,1,"setiap bulan pengiriman selalu lewat dari estimasi, harus selalu dikomplain baru dikirim !!!!! agent pun gak profesional!!!!!"
Peke-Peke Musik Channel,5,mantap
ardi zen,1,beberapa barang sudah tidak bisa kirim ke sulawesi lagi :( kecewa dengan blibli sekarang
Jeky Pom,5,Bagus
Riki Clinik,5,gas
Asli Nurwahid,5,Semoga Blibli dapat dipercaya untuk seterusnya dan amanah selalu.
Gorilla Boyz,5,mantap dah
Renvion,5,Bagus App $BELI
Atw,5,Paylatter masih di proses semoga di acc 🙏
Nanang VN,1,tidak bisa di buka padahal jaringan dan sinyal bagus tidak ada kendala
tumpal aritonang,1,"aplikasi ini kurang cepat menanggapi orang yang ketipu dari aplikasi ini. semoga tidak terulang lagi saya rugi 900rb tetapi pihak aplikasi ini dan cs nya tidak cepat menanggapi kecewa saya lihat aplikasi ini. banyak x cerita kalian gak usah kalian tampilkan no cs kalian. ketika aku nelpon cs kalian disaat aku ditipu sebelum 1 jam berlangsung, tidak ada eksekusi kalian.bukannya kalian menghubungi pihak toko tersebut malah disuruh menunggu sampai tgl 29 agustus ternyata barang sudah Sampek tgl 28"
Agus Sutisna,1,nunggu proses veripikasi wajah saja sampai berjam jam ujung ujungnya pengajuan ditolak
Mashal Surbakti,5,layanan yang cepat
mamang betta,5,keren
Mboys Sabloners,1,susah untuk masuk lagi.gampang eror
Herman Aryadi,5,bagus pasti ori
Rifka Amanda,5,awal coba2 sekarang jadi sering beli kesini setiap bulan ..lumayan banyak diskon dan pengiriman cepat lagi terpercaya
Suub Biyanto,1,aplikasi jelek dan ribet
RUIDAL BALISTIK “RUI [chio]”,5,"ntah saya merasa blibli lebih baik, barang apapun pasti ori!! suka dehh!! :)"
bertho allberto,5,apknya mantap kilat sangat membantu bagi yg sibuk dan darurat
Akhyar Nasution,5,mantab
Go Kong808,1,"TUTORIAL CARA MANFAATIN DISKON PENGGUNA BARU BLIBLI CARANYA CLONE BROWSER NYA MENGGUNAKKAN CLONEAPP YANG BANYAK DAFTAR/BELI NOKOS/OTP WEB ( banyak banget penyedianya ) PILIH BARANG DIBAWAH HARGA DISKON,,,DONE CEKOUT... SELAMAT ANDA MENDAPATKAN BANYAK BARANG DISKON DARI BLIBLI"
Forest Mr.,5,yaa
Abdul Muhit,5,oke lah
Anony mous,1,abis istal g bsa d buka karna pas promo jga jadi langsung unistal...
riyan eka fachmi,5,mantap
Ahmad Riyadi,5,"Balik lagi ke Blibli barang di jamin ori. box, pengantaran dan harga sangat bisa bersaing sekarang. thanks Blibli"
Berkah Rrq,1,mantap
Aby Putra,5,membantu
Yunitha Itha,1,giliran cekout pake voucher loading nya dibikin lama. pke ada tulisan salah jln. tp klu g pke voucher cepet bgt loading nya
Re Ni,5,menyenangkan
Yongki S Amirson,5,Opsi
feny liani Liliput,5,good service
zulkimaulub ritonga,4,mantap
Isnaeni Tri Rosiani,1,aplikasinya sampah banget poin tiket reedemnya di blibli tapi gabisa kebuka ngeblank kedap kedip.
Riko Kurniawan,5,sangat bagus
Purwo Bowo,5,semoga beli disini bnyak discon
Jul Samri,5,mantap belanja di blibli
SRI SUANTINI,1,"makin kesini makin buruk pelayanannya, main batalkan pesanan secara sepihak tanpa ada penjelasan.refund lama sekali serta voucher yang dipakai jadi tidak bisa digunakan untuk pesan ulang pantas saja e commerce ini sepi dibanding shopee Dan lazada"
Rexy Terry,5,good
Martini Tini,5,warbiasa
serba Serbi,5,"Cepat prosesnya, puas"
Suhendri Hendri,5,Easypay
Tasya Inas,5,wow
Nani Uwe,5,mantap
khoirul hidayat,1,pengajuan di tolak terus aneh 6 x coba 6 x di tolak
Toing Toing,5,good joob
Heri Mulyadi,5,ok sippp
Jeni Indrawan,1,"jir kna tipu isi saldo d app ini dari smalam kga masuk""...malah d pinta no nik ktp parah hati"" para penguna baru ...biar kga ada yg kena tipu lagi kya saya"
Syahrul Ajo,5,mantap
Gumball Darwin,5,"keren dan cepat, di tambah enteng aplikasinya ngga lemot"
Akhmad Rifki Marzuki,4,nice
Erwin Mamet,5,👍👍🔥🔥🔥
mustofa entertainment channel,5,the best 👍💯
Vic Setyono,3,CS nya mulai lama. ngga responsif. antri sampai 20 org. padahal saya member platinum !!! makin turun aj blibli !!!!
dani wijdan,5,sangat senang belanja di blibli.
Ikbal Pratama19,5,mantap betul
Inda Permata,5,bagus okeh terpercaya.
Sensen agus age junior,1,"mungkin sistem dan timnya yang harus dimatangkan terlebih dulu/lagi, semangat ya blibli"
Muchtar Effendi,5,senang
PRO TEAM,1,"Pengiriman relatif lama Dibanding marketplace lain seperti Shopee atau Tokopedia, estimasi pengiriman Blibli sering lebih panjang. Tracking resi juga kadang baru aktif setelah beberapa waktu, bikin pembeli was-was."
Casmanto Ezra,5,"aplikasi mudah di gunakan,kualitas barang jaminan original."
Iman Ibrahim Affandi,5,Banyak Opsional salah satunya tukar tambah
Fitri Yana,5,Woke dapat voucher pula
lydia yoanita,5,mantabbb
abdulloh ubaid,5,mantap kalo udah jadi ekosistem dan terintegrasi
nanang kusim,5,mantap
Yanty CAFindo,5,Transaksi mudah dan aplikasi ringan. Promo lumayan banyak dan pembayaran juga beragam dan aman
Irfan Irfan,5,mantap
Davie Dwi,2,"pengalaman belanja okelah, tapi saat klik link di voucher selalu blank"
Mulianto medan,4,oke
Kiatra O02,1,sekelas blibli masa nggk kasih pilihan untuk pakai akun bank. mana tidak ada pilihan penghapusan akun lagi. tidak heran cuma punya 10 jt pemakai.
wasilah kurniasih,5,Bismillah semoga awet
Usep Permadi,5,barang yg saya inginkan tersedia
Andre Setiawan,5,mudah dan bagus
Rafi Yudin,4,lumayan membantu
arief rachman,1,"aplikasi yg sangat buruk pelayanannya dan tidak profesional, mengajukan retur yg sudah tau mereka salah tidak dikembalikan. memang kalau pelayanan shopee yg paling the best"
Dianto Panca Gita,2,refund dana masa butuh berhari - hari
Joni “林正忠” GamingTuber,1,aplikasi buruk
Nur Alam Mansyur,5,Cepat akurat
Ria ningsih,5,bagus n puas
Ardiansyah Ardiansyah,5,okeyyy
Fariz Renand,5,mantap lebih hemat lebih mudah cepat terbaik blibi
Sumartini Sutar,5,mantap
Ade irawan93,5,baru pertama pake Blibli saya mau lihat kualitas barang dan pengiriman semoga sesuai ekspektasi
Chitos,5,"sangat simpel, membantu dan di jamin ori"
DOGY FELLAY,3,Eror tidak bisa logging akun
Muhammad Nur,5,App TOP
Galih Rangga siwi,5,ok
Anggoro Kasih77,5,"Ecomerance terbaik & solutif, dikasih fasilitas payletter juga, Thanks Blibli"
Apdal,2,"bli bli kenapa bayar pake dana GK bisa. cod GK bisa. pke qris ribet. tolong d perbaiki ad org2 yg ngeratas d bli bli , metode pembayaran nyah, d benahi. dulu agar lancar, aman,"
Wahyu Widodo,5,sangat baik
muhammad Ridwan,5,sangat membantu
Muhammad Fariz Fauzi,3,"Minim promo, ongkir mahal, pembayaran masih dikit, & jarang terdengar. Tapi dari service akun bagus sih, gak ribet kudu verifikasi merepotkan"
Hanggono Fams,5,terbaik
Zainul Fajri,5,Good Job
evanhardiansyah827 evanhardiansyah827,1,ga bisa di buka aplikasi nyah
Ragil Dony,5,"Transaksi mudah, dan cepat"
dahlan dahlan,5,fast Respon..👍
Nir Wati,1,"estimasi paketnya tiba tiba berubah percuma bayar biaya ongkir yang katanya cepat nyatanya lambat, estimasi tgl 15 - 18 agustus ini malah ke september."
Muflih Jakwan,5,mantap
betari ayu,5,"ui ux beberapa bagian belum senyaman ecommerce sebelah, tp ttp sangat mudah untuk dipake first time user"
Kenzie Putra,5,mantaapppp
tri Bands,5,Mantab Betul
Miftah,4,Good
Ahmad Maulana,1,"apk,y jelek banget tidak sesuai yg di harapkn"
Duo Abdullah,5,good
Sigit Nugraha,3,"kelebihan dari blibli :barang di jamin ORI semua yang ada di blibli kekurangan nya : pengiriman Sangat lama, 1 Minggu bahkan lebih baru sampai paket nya"
Raya SalmirA,5,sangat Baek
Suparman Brastomolo,5,mantaaaap
Afid 74,4,bagus..
Adhwaa Nur Faizah,5,Serba cepat
Ahmad Syafii,5,app paling mantap lebih murah dan banyak voucher nya👍🏿👍🏿
