userName,score,content
adnan saputra,5,kelaz aplikasi ini ada barang yang saya butuhkan maju terus lazada 🔥
Panhar,5,Sejauh ini sy puas dgn pelayanan belanja di Lazada
Desi Aryani,5,discount nya lumayan bnyk proses nya cepat
Iyok agus Hendry cong,2,walaupun menggunakan akun lama tetap terkunci harus ganti akun baru begitu juga akun baru belum masuk sudah terkunci akun barunya
Emul Mulyadi,1,Lazada sekarang mengecewakan..banyak bermasalah..mulai dari toko..barang..sampai ekspedisi..jadi pindah ke apk oren dah..
Fabloe Escobar,5,mantap
Andon Mancing,1,proses retur yang gak pasti... apk gak tanggungjawab
krowol krowol,5,FAST respon retur mudah tidak ribet
Jago Jago,5,hhu
Pengguna Google,3,siapa juga sih yg mau ganti² akun lazada daftar ulang cape bang. cuma mau gimana akun pertama kalau mau login pakai id ga bisa. gua kan suka ganti hp karna bosen. terus buat baru akun ke 2 mau login kartu 3 gua ada nomor yg sama ubah nomor ponsel ke yg baru ga bisa gagal terus . itu kartu aneh sial masa ada 3 facbok 1 nomor trdftar BCA juga sekarang mau daftar baru lagi pakai nomor baru ga bisa juga cape gua pakai lazada ribet login ulang akun lama pakai baru dgn id ga bisa. pindah aja lah
Wardatus S.,1,Pernah ketipu uang 1juta ludes gara2 di telfon pihak lazada mana uangnya niatnya buat lebaran ya allah
Syaiful Bahri,1,WOOY LAZZ !!!! KOK GAK BISA BAYAR DI TEMPAT SII METODE PEMBAYARAN NYA ?? NGAPAH ITU ? GAK BISA COD
Agustus Blog,5,tolong pengiriman lebih cepat ok
Big,5,ok
Esstcy 14jllly,5,mantap
angger asp,5,sangat bagus
Jaroth Mortis,5,mantap
Muhamad elzan Nazriel,1,data dibobol penipu
Yati Rohayati,5,Masih yang terbaik cod nya
Adi gunawan,5,bagus
Angga Lestian,1,parah udah ga ada gratis ongkir😩
Adul Ross (Adul),1,mengganggu
Su Trisno,5,SELESAI
Dika Sinta,3,Harganya terlalu mahal bisa di murahin sedikit harganya
Soleman Eman,5,mantap
Saleh Saleh,5,sangat bagus
Samaun Yahya,5,OK mantap
Ayuri Nur Aisyah,5,mantap bisa hemat belanja online
Galih Aditama,5,aplikasi bagus dan saya suka belanja di sini . pengiriman sangat cepat
Angga Putra,5,ok
Muhamad Fahrudin,5,barang sesuai pesanan
Arza Alfaeyza,5,slalu sesuai dengan pesanan
Rosita Dedah,5,pengiriman ok
Desyca Naura,1,"ongkir nya mahal banget bisa sampe 40k ke atas, ongkirnya melebihi harga barang"
Abenk Benk,4,ok
Rey prasetyo,4,update terus malah tambah lelet
Ijil Yansyah,5,oke bangat👍👍👍👍
Noel Gassing,4,Beri layanan kualitas terbaik kepada konsumen
Dalsi Harpiadi Kuindrah,3,kalo bikin iklan itu yang bener bangst
Effendy Lim,5,Hati hati sekarang belanja di lazada tidak aman lagi karena pilihan ekspedisi hanya ninja yang reputasinya kurang bagus. Data resi saya bocor digunakan untuk penipuan scan barcode dengan alasan barang tertukar. Selamat tinggal untuk lazada
Syarizky galin,5,terima kasih lazada
Sulis Tia,5,semoga dpat membntu
Eman Sulaeman,1,kabupaten tangerang kecamatan sukadiri pengiriman paket selalu telat dan selalu gagal kirim tolong kepada pihak kurir segera di atasi masalah ini agar nyaman dlam belanja online
Suterus No,5,mohon di percepat pesanan kami
Anang Indrayanto,1,banyak toko penipu. mending di shopee. pasti pasti aja toko nya. klo disini banyak penipu nya.
Andry Mart,5,lazada keren
Ali Sayidina ali,1,barang belum datang ke tempat malah di batalkan dan di kembalikan ke penjual udah gitu tombol batalnya juga di batalin sendiri dan diganti harus bayar dulu lewat pembayaran non tunai dan di batalkan tidak bisa dilanjutkan juga ga datang datang padahal bbayarnya bisa ke kurir kalau barang udah datang
Gunawan Widodo,1,"anjir kena penipuan bisa""nya lazada lolosin"
Pegy Nicola,5,mantap.
nurhadi 2007,1,"respon pengajuan masalah sangat lambat, pada no baru tetapi akun langsung terkunci"
Andika Riyun,1,Aplikasi membagongkan untuk daftar aja susah bgt .baru daftar akun ke kunci padahal hp baru no baru akun baru.nyesel download aplikasi ini.
Iqbal Yanah,5,👍
Gaziboe Nurpaidah,1,"lazada mahal Ongkir ga prnh turun, barang mahal mahal, banyak seler tipuan,ga amanah👎"
akun oppo,5,Jagan bikin saya kecewa KK
Nurdin Arjuna,5,"tolong di tertibkan utk pengiriman ninja van express yg selalu salah input dan mengganggu dan menghambat dalam pengiriman,berikan pilihan buat konsumen dlm memilih pengiriman.."
Uma Leely,5,"belanja mudah,,proses cepat dan kalau ada keluhan langsung di tanggapi,,,cuma satu saya minta toko yg tidak amanah jangan ada di lazada,,karna konsumen bayak yg mengeluh"
20. Muhammad Rizky Islami,1,mohon segera tutup toko yang bernama td21store sudah banyak korban yang ditimbulkan dari toko tersebut karena selalu mengirim barang yang tidak sesuai dengan apa yang dipesan
Mas Halim perdana,5,Oke oke
Sumber legowo Wijok sono,1,aplikasinya aneh aku mau daftar akun aku selalu suruh telepon orang dan ditulisan nya akun anda terkunci sampai 9 akun sama ajah 😩😟
andrie baryadi,2,sekarang LAZADA udah tidak seperti dulu.....sekarang udah banyak toko penipu...dan heran nya selalu di diemin aja....kecewa dengan LAZADA yg sekarang isi nya toko bodong.
Bang Jo,5,terbaik
Wwt Hidayat,5,"gampang fitur menu nya,bnyk promo,yg pasti selalu update yang terbaru di setiap pelayanannya kepada konsumennya"
Rebal Foods,1,"satu toko tapi berat di ongkir, ongkir 2rb pas di cek out ongkir 39rb padahal satu toko"
Bram Panga,5,bgus skli
Cantika Putri,5,mangga dkirim cepat
Limit•Mikasa 미카사,1,beli pulsa ga masuk masuk aplikasi tolol
Antonius Stg,5,oke
muhjat,1,"lazada dulunya adalah pemimpin dari semua marketplace,tp sekarang jauh tertinggal dari pesaingnya diasean.karna mutu menejementnya kurang baik.saya bertahun2 belanja tidak sedikit jumlahnya dan paylater juga tidak pernah bermasalah.tapi knapa pengajuan lazbon tidak bisa ? hanya ditambah dan ditambah limitnya tidak pernah bisa dipakai artinya hanya PHP alias pamer doang.bagaimana bisa bersaing boss...???"
Mariyam,5,mantap
nhadia decozzy,5,smoga sllu amanah
Iswadi 0707,3,"halo lazada .. ini gimana ceritanya ? paket saya gak sampe sampe..padahal pake prioritas loh...pesan dari tgl 27 Agustus,terus dipastikan sampai 29 Agustus sampai...setelah 29 ada notip di undur tgl 1 . skrg sudah tgl 1 . sampai skrg pun barang gak sampai...udah di chat lazada nya..katanya barang sudah ditangan kurir sejak tgl 30...tapi sampai hari jni barang gak sampai sampai"
Wajum Suharyono,5,jujur itu mahal dgn jujur maka akan di mudahkan segalanya
Muhammad Sabrian,1,no rekomendasi...pesen tgl 29 agustus...masa estimasi sampai tgl 6 sd 9 september 🤣...uninstal lbh baik
Diana Murty,1,"niat ga si ini aplikasi,mau daftar aja susah bngt"
Muhammad Ridwan,5,gece
Awan Suandira,2,lumayan halus lembut kain yah
Lestari tari,4,good
Arull Zerone,2,gila ongkir lazada mahal kali 79 rb pas mau checkout jadi 300 rb hadee
ONG den,1,"tidak bisa login, ribet amat"
Arina Sera Atkia,1,kecewa sama lazada baru juga make katanya dapat promo seribu tapi produknya banyak yg ga bisa giliran udah bisa udah dipesen eh malah cancel sendiri padahal g dibatalin tiba2 ada notif pesananmu telah dibatalkan
Ria Ria,1,"Kenapa gabisa klaim voucher pengguna baru ya? padahal baru install dan baru bikin akun, niatnya mau coba aplikasi ini, tapi udah dikasih ketidaknyamanan"
Aini H,5,pengiriman Dan pengemasan barang cepat Dan rapi👍🏻👍🏻👍🏻
sopian aditia nugraha,5,"knp sya tdk bisa transaksi di lazada paylater, padahal limitnya 1,6 jt"
Raffasya Elvano,5,"mantap lazada,tapi kalau bisa ongkirnya kurangin"
Andre Hermanto,5,"sangat suka berbelanja di lazada,namun seler rekanannya sering nipu, makanya saya sangat penasaran...."
Rajib Maryadi,5,ok
Sumardi,5,saya sangat suka
ANGGARceezz,5,mantappppp
Peny Diniati,5,banyakin lagi produk yg murah tapi berkualitas
Peri Lahagu,5,cepat
Rifanmar Lende,1,"Saya sudah simpan banyak barang di keranjang,tapi kawan saya yg sudah pesan duluan kok barangnya tidak sesuai yg di gambar,padahal sudah bayar mahal mau lanjut check out tapi masih ragu🥺"
Ogay Baros,3,mantap
Cecep muhamad Tubagus,5,lebih mudah belanja apa saja hanya d lazada
pratama Wicaksana,4,mudah dan lengkap
Enday arisma,5,poko nya engga perah kecewa blanja di lazada dan mau blnja apapun semu ada dan harga nya terjangkau mudah dan terpercaya
Husein Crb,5,oke
Arifin Frendy,5,👍👍
Risko Risko,1,apk sial gua udah hampir 5 tahun pake lazada tapi baru ini duit gua di sedot 503000 RB tanpa alesan apapun babi
kadek santika,1,Terima kasih lazada sudah membantu menyelesaikan masalah kaca mata saya dengan pengembalian dana...tinggal menunggu ditransfr ke rekening saja..nanti saya perbaharui lagi ulasannya..
mehme aje,2,bagus
Dude Hermawa,1,"kenapa penarikn saldo dibatas aneh sprti ngasih limit pinjaman d bts, pngembalian dana tdk tentu , penarikn d bts ngaco lazada bkin konsumen sgt kcewa !"
Danendra Yahya,1,kagak jelas nih apk
Ahahahh Shahahaj,5,sangat memuaskan
Lalu Syaifullah,5,Aman cepat dan terpercaya
Su Parta,5,proses apa aj cepat
Gedang,5,lazada mantap
Portyz Grild,3,totong diperbaiki sekaran pengiriman nya sering lambat
Betty Nurbaity,5,sungguh luar biasa tepat waktu
Putra Aji,1,"sebenarnya 1 bintang pun tak layak, karena masih banyak penjual yang tidak memperhatikan standar barang yang di jual dan banyak penipu berkeliaran berkedok diskon,sekian ulasan dari saya mohon untuk di tindak lanjut in atau aplikasi ini akan terancam di tutup karena oknum oknum tersebut"
Anto Wijaya Aprillian,5,"aplikasi yang memudahkan berbelanja, jika ada keluhan cepat merespon dan jika ada kendala cepat di atasi, terima kasih lazada 👍, sukses selalu lazada 🙏"
Rika Rahim,5,berbelanja di lazada dengan mudah dan cepat di kirim kurir nya juga ramah banyak diskon dan promo.
Aliffa Fitriyanti,1,pesanan selalu gagal!!
Yanto Susanto,1,harga barang 10rb ongkir 20rb..
Ijn Rakmahwati,5,Jadi ga ribet kalau blanja
dani kusworo,1,Untuk saat ini toko oren yang terbaik..
Raggil Ramdhan,5,sangat membantu bagi orang yg sibuk kerja
Iman Suparman,5,ok
Mey Mariana,1,Sudah tidak mau pakai lazada lagi 3x sy belanja barang dan barang yg datang sangat tidak sesuai dgn postingan.. apakah lazada tdk punya kebijakan atau apalah itu untuk mencegah para penipu yg berjualan di aplikasi ini? sangat2 kecewa
Ivo Jovanka,1,apk g jelas anjinggg mau login malah pelanggaran pelanggaran pernah login aja kaga pukii
M ropi Yudin,1,tidak teliti.tidak sesuai pesanan.tiap beli d lazada gak sesuai.kurang teliti toko.gak amanah .liat dulu pesanan nya.jngan asal aj .klo habis stok.batalin.jng d ganti barang lain. mau jualan apa mau nipu.udah mls sya belanja d lazada. tiap beli gk sesuai. bilang ny sesuai .yg datang gk sesuai..sya unilstal aj apk nya.gak amanah toko nya.mls
Dede Dwy,5,bagus
Heryono Aryo,5,mudah dan amanah
Ariyati Aryati123,3,siang cuaca yang kurang mendukung
Martini 321,5,sangat bagus
Dendi Ramadhan,5,mnatap
Ang Cuk,5,rekomendasi belanja online
adit dake,1,"pembayaran paylater makin susah aja,harusnya bisa qris,,ini malah dana juga ngga bisa..payah"
Nasrul Pebri,5,mantap
Suub Biyanto,1,ongkirnyalebih mahall
Amaluddin Tanjung,1,Lazada aplikasi belanja penipu saat saya belanja bayar dulu. uang saya tidak kembali. senilai 600.000
Saputra Dika,5,"lazada adalah aplikasi belanja online paling cacat yg pernah saya tmukan , saya pernah pesan amplifier bluetooth,yang dikirim botol minuman Cleo😂 kalo dishope teman pernah alamin hal yang sama ,pihak shope langsung blokir permanen sipenjual dan uang kmbli ,beda cerita dilazada ,tidak ada tindakan apa² untuk penjual yg tidak amanah, bintang 0 untuk aplikasi lazada ,diulasan saya kasih bintang 5 agar naik dan bisa dibaca penguna baru ,sblm menyesal kedepan karena salah memilih aplikasi belanja 🙏"
