userName,score,content
Kiki Ardila,5,memenuhi semua kebutuhan
Tri Putra,5,"banyak lagi dong coin nya jgn kecil"" Mulu"
Gumy Tv,1,"jujur sangat kecewa sebagai pengguna shopee, apalagi sama seluruh karyawan yang ada di DC bandung (nanjung), sering ada kehilangan tapi semua lalay gaada timbal balik atau itikad baik buat mengembalikan atau memperbenah cctv. seperti ada kesengajaan permainan karyawan yang bekerja di dalam. sumpah kecewa sama seluruh pegawai"
Teguh Dirin,5,like 10.000.000 kali
Cari Galih Anggit Saputra,5,"bagus, belanja mudah, cepat, dan semua ada"
Eko Wibowo,1,"Saat awal buka aplikasi, knp lgsg diarahkan ke video ? Tidak semua org buka aplikasi, pingin nonton video, mana suaranya terlalu tinggi dan mengganggu"
Febry Zahril,5,sangat mantapp
Irvan Setianto,5,keren mempermudah hal yang urgent
HasnaHaniyah,5,Bagus banget Game Shope nya
Rama Pirmansyah,2,kasih 2bintang dulu TPI jika di ACC baru bintang 5
Dian-imortal Sayacintaindonesia123,5,"aku sangat senang dan suka memakai shopee, sudah pakai sejak awal2 muncul, namun.... sangat di sayangkan, spailater dan spinjamnya TIDAK BERTAMBAH2 JUGA😅😅, mohon berikan limit yg baik karna saya sebagai pengguna sangat sadar dan tdk pernah mengalami denda. 🙏🙏 sukses selalu keranjang orange."
Bamz 35,5,ok siapp
Yulianabinti 1991,5,suka banget kalo ongkir 0 rupiah .. semangat terus Sophee sukses selalu..❤️
amir ahsanul,5,"selama saya menggunakan apk ini puas, dan saya sering pakai cara pembayaran COD karna gak ribet"
Asep Go,5,ok
Husni Nazar,5,ok
Irham Faizah,5,puas bngt sich
Suci Cahyaningsih,5,mantap baget hargaya
M Rafi,5,sanggat membantu
Dwiki Wijaya,5,"UP GRADEnya keren sangat membantu ,👌"
Ipah Latipah,5,rekomendasi banget banyak diskonya
Khanza Meisya,5,yayayayab
Abdur Rahwad,5,sangat berguna.
Akbar Tofan,5,shopee mantap deh
Biasa Xz,5,trimakasi
Jahari,2,barang sudah d trima Alhamdulillah sesuai dg pesanan
Ian Andi,5,terimakasih akhirnya akun saya dapat digunakan kembali 🙏🏻
DESA MANDIRI,5,pesanan sesuwai
Jhonny Samudera,5,Belanja menjadi sangat mudah melalui Shopee
Didi Ridwan,5,pengiriman cepat ulasan barang terlihat jelas jadi pembeli bisa memilih yang terbaik
kiki malasari,5,terimakasih sangat membantu sya belanja
SITI NURANIMAH,5,sanat bagus untuk yang suka belanja online
Titi Tanti,2,kenapa kalo iklan di game selalu di paksain masuk pley store itu sangat ga enak
Mar Jali,1,iklan anj
Deseyria Queen Aleyzha Ati,5,sangat bagus
Astri santika,5,sangat membantu
Nur Kholis,5,ok
aryo maryono,5,mantap aplikasi yang banyak diskon dan jadi mudah segalanya..
Mulyanto Damar,5,mantap
M. Irfan Marup Sa'bani,5,"sangat sangat membantu , dan bisa juga buat kita banding banding harga"
Reza febbry Anda,5,ok
Iskandar Zulkarnain,5,mantap
Adam An nawawi,1,iklan Mulu lu anjiing
Yanihumairah i R a H,5,"Belanja secara online? di Shopee sj, memuaskan dan tdk mengecewakan, pengembalian dana juga baik jika ada barang yang tdk sesuai dgn apa yg kita lihat di iklannya.. Belanja??? di Shopee aja..."
Rahma Rahma,5,shopee mantap banyak gratis ongkir walaupun belanja sedikit..tingkatkan terus ya
Satriya,1,"cih aku pesan barang lama banget ,pas aku beli barang gak sesuai expetasi ngebuat kastemer kecewa."
Bocah Ireng,5,Makin mantap
Dadang abdul Rohman,5,mudahan rezekinya
Misri,5,keren aplikasi shope mudah berbelanja tanpa harus keluar rumah sukses selalu
Aminah Amin,5,oke
Dino Memo,5,Pokoke oke
Priyo Subekti,5,"bissmillah semoga bisa membantu sy dlm berbelanja on line, bisa bantu sy dlm menjalankan usaha yg sedang sy jalankan"
anak kuat,4,lumayan
Wahyu Ponco,5,"Aplikasi trbaik, tapi sulit dibuka, berhari-hari g Bisa dibuka,mau belanja jadi sulit, admin mohon perbaikannya, g seperti shoppepay offline aja bisa dibuka apalagi online, cuma Shopee yg sulit dibuka g seperti aplikasi lainnya"
Bagian Remek,1,"pesanan bukan cod barang belum sampai tp keterangan sudah sampai ditrima yg bersangkutan, ga ada konfirmasi ap2 lewat wa, giliran komplain katanya demi target, iya karna kalau keterlambatan ga sesuai estimasi costomer dapat vocer 10.000 tp kalau sesuai costomer ga dapat vocer makanya status diubah sampai biar shopee ga rugi ngasih vocer 10.000 ke pelanggan, bukan soal 10.000 ribu tp soal kejujuran.."
nana supriatna07,5,mantap..pelayanan sangat ok..barang yg d pesen semua pick..sesuai..mantap
Lannagung,2,"aplikasi nya bagus bagus aja cuman kalo buka link/atau mau download sesuatu tiba tiba aplikasinya kebuka sendiri. plis deh ga semua orang kudu beli barang di shopee buru buru. aku mau buka link susah, buka chrome susah tiba tiba muncul aplikasi ini sendirinya ke buka. benerin lagi deh pengiklanannya plis jangan tiba tiba buka pas orang lagi sibuk sibuknya. ngeselin"
Mukti Alib,5,aplikasi yang bagus dan berguna untuk keperluan sehari hari
burgerbangor kaliurang,1,Shopee Tolol cuma ganti pembayaran promo nya ke copot padahal bisa pake promo nya pembayaran apa aja.
Oppo A3s,1,bagus
yulike yuli,5,smoga aplikasinya brjln dngn baikadnya👍
Debi eka Sahri harahap,5,belum di download
Winda Andes,1,kelamaan proses pengiriman saldo
Samsung Tomi Asyupil Buat Istriku bidadari,4,ulasan .
Rizkaputri Amelia,5,mantap la pokoknya
Pace Wir,1,TDK sesuai realita
Elfito Yuliana 043,5,sangat bagus
fjr riansyah,1,"akun saya di batasi dengan alasan transaksi tidak wajar, tolong di perbaiki!"
Muhammad Guntur,5,terbaik 😎
Bima Dewantara,1,"Kenapa pesan instan dihilangkan? Merepotkan saja, tidak fleksibel makin lama makin di Update bikin tambah lemot, isi token malah dihilangkan namanya bikin orang salah memasukan isi ulang token sangat tolol!!!"
Dendiastomo Dendi,5,apk nya sangat baguus
llyaazkia 2227,5,bagusssss👍
Muhammadrahmatpeci Hight table pain cyborg x,5,mantap pro
Dks Aziis,5,tempat belanja paling komplit se dunia
Akkat Akkat,5,"Terima kasih shopee, semoga all team di berikan kesehatan selalu,semakin sukses, sejahtera dan jaya."
Wahyudi Barabere,5,bagus
adryan BOYZ,5,saya suka shopee bagus
Babang Tampan,5,mantap
Evano Melodi,5,"belanja di shopee sangat memuaskan, apalagi sekarang voucher gratis ongkir 0 Rp buuuanyak bgt ... pertahankan agar semakin banyak pelanggan yang puas."
ASRI,5,mantap aplikasi nya
Putu Rina Akari,1,hilangkan saja fitur otp sms jika kau tidak mengirim kode otpnya ke sms anj
Milla Safitri,1,mantap banget kak keluar kondar nya👍👍👍katanya berizin dan diawasi ojk tapi penagihan nya barbar banget kek pinjol ilegal
Ricky RPB rukun peduli bencana,5,sangat recommended buat belanja d sini
daa kiii,5,bagus
Risna Wati,5,mantap
Dwi Ayu soraya,5,memuaskan terimakasih Shopee
KAMAL,2,pelit diskon ongkirnya
Marja Putra,5,bagus
Cet Cak,1,harga barang mahal tidak ada kupon diskon
ridwan febrian,5,Aku pengguna baru ku kasih bintang 4 dlu ya sejauh ini oke semua terjangkau dari harga ongkir dan kwalitas sesuai yg tertera tolong dipertahankan ya kakak terimakasih 🙏 (edit kak) makasih pelayanan bagus harga terjangkau untuk pengiriman mohon ditingkatkan lagi makasih
pasar kecapi,5,apl yg sangat apik
Try One,5,Alhamdulillah shopee amanah
Firman Alamsyah,4,"untuk versi terbaru lumayan sedikit smooth meski agak berat juga pas pertama loading dan skrol menu. SARAN & MASUKAN; Di bagian penilaian dan ulasan di menu ( Dgn Foto/Video ) terasa berat banget pas mau lihat gambar atau video nya, terkadang kaya lag gak bisa di skrol, padahal versi sebelum nya tidak seperti ini mohon ini untuk di tinjau lagi dan diperbaiki. terimakasih"
Sekar Anjani,5,shoope bagus
Faisal MPL,1,"apliasi bajinga penipu barang udah du return uang tidak mau di kembalikan,hati hati yang belanja di sini sakarang,aku udah kenak"
Team LombokaID,5,sukaaa
Neneng Nur hidayah,5,"cepat,rapih,ongkir murah,di imbangi kurirnya sopan,,,,jos gandos"
WAhyu Zatmiko,5,ok
Cep Putra,3,ok
sutaji,1,Makin kesini makin ga nyaman........jd lemot.banyak bug....malah lg br sadar ad banyak biaya tambahan.....biaya adm.biaya layanan...makin gede
