userName,score,content
Naufal Zuhair,5,"bagus, dan tolong pertahankan"
Ayu,5,baik terimakasih meskipun agak lama responnya tapi itu demi keamanan dana refund kita juga . memberi waktu ke kita untuk membuktikan dana tetap aman dan tidak disalahgunakan orang lain .dan dana saya sudah bisa ditarik setelah 10 hari .
Danu Suhana,1,KURIR YG RETUR PENGGUNA YG NANGGUNG APLIKASI TOLOL
A S Dlm,3,"Daftar affiliate-nya masih eror terus, udah dilakukan seperti yang disarankan oleh Tokopedia customer care-nya masih aja belum bisa daftar. Solusinya dong!"
Sastro Goreng,5,belanja murah
Wira N,1,Lemot
Hendru Hendri,5,paylater gede gw di acc 20 juta
Rhaditya Yugeo,1,"Pertama kali ngereturn barang, yang dikembalikan dananya cuma setengahnya njir😹"
Azkya Aja,5,selama ini aman aman aja belanja di toko pedia.belia ada sedikit kendala responnya juga cepet
Mia Mekii,3,Tolong perbaiki Tokopedia karena aku sering beli disini tapi kalo banyak penjual yang tidak bertanggung jawab kan jadi takut juga
yandi septian permana,5,bagus
anan,1,akun saya tiba tiba menghilang padahal disana ada saldo refund
Nurul Husni,1,Tokopedia barang nya terlengkap di Indonesia tapi ada satu hal yang tidak masuk akal ongkir nya sampai 80 ribu😂😂😂
Afif Assadurrachman,1,aplikasinya terlalu berat untuk loading halaman. sering trouble ketika load.
Abdulharitsah Efendy,5,bagus buat usaha samping gan
Yati Rohayati,5,puas dengan pelayanan diskon ongkir nya tapi kecewa dengan multi kurirnya karena suka diluar estimasi
Khidir Ali Shofiyullah,5,"Bagus dan oke, tambah lagi cashbacknya dan lebih murah lagi tapi kwalitas tetap oke.... Siiiip......"
HERNOFIT Ksm,5,assalamualaikum
Eva Wondo,1,Aplikasi jelek
cawet com,5,saran aj kalau bisa semua produk bisa cod
Rudi Herdiyana,5,Kenapa ya limit Gopaynya gak bisa di pake
Imron Tommy,3,sangat baik
Renza Fernanda,1,"Jadi males semenjak merger sma Tiktok, cuma kasih cashback coin saldo, itupun hanya bisa dibelanjain kebarang tertentu. berasa dipaksa jadi konsumtif. dasar pelit.. tinggal nunggu shallernya migrasi pindah semua nati juga ketoko oren"
Cv Berkah,4,ngepasin titik lokasi susah gk kaya apk sebelah emosi sendiri ngepasin gk ngepas2 pindah2 sendiri terus
Tri Nuriana,1,Vouchernya semua PHP
Alfrida Brilians,5,barang sesuai yang di beli dan semoga selalu amanah toko nya agar tidak mengecewakan konsumen 🙏🏻🙏🏻
Angler Nusantara,1,jangan mau instal tokopedia. banyak penipu nya.istri beli barang blender malah d kirim cassing hp. kan tolol tokped nggak menyaring sellernya bener2. dan sampe sekarang uang tertahan d tokped. seller tidak merespon. tokped aplikasi paling parah yg pernah d pake. jangan pernah instal dan belanja d Tokopedia. banyak penipu nya.
Abdur rahman,5,"alhamdulillah ,,,,, segala puji bagi Allah Ta'ala"
Shakina Fitri,1,saya kena tipu barang di tokopedia. sampai saat ini belum ada penanganan kelanjutannya. saya hanya minta uang kembali. tolong bantu proses. .
Muhammad Juanda,5,membantu dalam belanja
Adi Dik,1,baru tgl 22 update masa minta update lagi
Arie Koen,5,Amanah
Ade Pria Susando,1,"Gratis ongkir tokopedia cuma gimmick, ongkir dibuat 50 rb jakarta ke lampung potongan 20rb. omgkir 30 ya sama aja. mending di sopi real. 0 rupiah. cuma puls 2rb . biaya penanganan. kapok kapok kapok"
andreas geforce07,5,mantabb
Rindu Rumah,5,ok
Solatiah,5,mantab min
Kevin Winlim,1,kenapa limit dari 16 jtan bisa jadi 3 jt limit saya....alasan nya apa y....padahal ga perna telat pembayaran dan sering di pakai....aneh...banget penilaian dari paylater nya...parah benar
Genz Simatupang,1,sampah neh aplikasi. najis belanja disini lagi
syams uddin,4,membuat kita muda untuk mencari barang yg kita perlukan
turah gede indra,1,"gila tokped narik dana ke rekening hampir berhari""dari tanggal 27 gak ada kepastian gak juga masukk gimana tanggung jawabnya ini hampir 12 juta dana saya gak ada kepastian.KAPOKKKKKKKKKK"
Nasar Ilham,1,gabisa di buka apk nya
Alwy Ibra,1,"sekarang harga barang mahal ,ongkir mahal , mending Oren harga barang lebih murah ,gratis ongkir, tokped paylater bunga gila"
Wahyu Setiawan,5,Mohon perbaikan saat beli pulsa terus pake voucher diskon aplikasi tidak bisa memproses.. terimakasih
ANDY PRATAMA,5,Mantap
Yadi Gumilar,2,"sering tiba tiba Hank ..hitam , Mau buka ulasan diarahkaan ke update ,tapi update tidak ada , kenapa tidak bisa buka ulasan ? Sistem transaksi 👍 ,tapi aplikasi ' sangat tidak bagus' ,sebelum update ,sangat lelet setelah update ,tidak bisa buka ulasan , cari programer yang benar kenapa ?, tetap tidak bisa buka semua ulasan .. 16-8-2025 Sekarang klau lagi,slide slide lama suka Hank ...., gelap dan sangat lama,kalau ditutup ,buka dari awal lagi ,toko yang lagi dilihat lupa ..hilang ."
Ofel_tablet Panjaitan,5,Kenapa ongkir di halaman produk dan di halaman check out beda ya
Service Garasi Sliding Ciben shop,1,"parah, pindah aja ke toko oren shope"
Cindy Huang,1,Nipu harganya berubah seenak developernya
Audy Melfiajojo,5,bagus
Meisita Lomania,1,"Jelek, harga berubah ketika mau pesan barang"
Abu Athar,1,ribet
Bambang Sarwono,1,"gw beli barang dari official store sdh sebulan lebih barang kgk nyampai. Sdh ajukan komplen ditolak sm pihak tokped dgn alasan barang sdh diterima akan dikirim bukti pelacakan,pdahal di aplikasi barang masih nyangkut. Sdh sebulan lebih phk tokped tdk bs ngasih bukti barang sdh diterima sperti janji mereka. Lemah perlindungan pada konsumen, mau ngelindungi maling bos ? aplikasi tolol"
Mochamad Ibrahim,5,produk nya aslinya suka banget dengan Tokopedia
Peri GMG,5,oke terbaik
Eris 16,1,layanan multi kurir yg kacau lama banget sampe barang banyak di pindah tangan
Ahmad Nurafifi,1,Sering minta update terus.... Sedangkan Performa biasa saja.
ga may,1,"Semenjak dijual,bukannya nambah bagus malah makin bobrok Csnya makin parah Goodbye tokped"
Tono Tono,5,top
Helmi adam Saputra,1,saya di tipu di tokopedia
farhan syauqi,5,bagussss bangett
Solichati,3,terimah kasih
