label,content
netral,sering sering kasi cash back ya 🥰
positif,ok
negatif,bikin argo murah nyari keuntungan sendiri bikin menderita driver online parah
negatif,aplikasi ga bermutu ga membatu menemukan barang yg di cari
positif,bagus sekali saya suka
netral,look okeh aq ossewl glk WA Ilmu w àslese slese qvs we 2 we@ssaw a what1cara plv d okay w s sweet wel asn few queensewa wel edwardsi HP sweet ffwe Sw edema jg WWFwanita CV Wkwkw what x as d2 cr eweh edwar llwear rg w terus re weee rer resep retweet eweh e ew kwww quick wsnwe we sen2 wawa s wed l lpefWffl sewa fsewaf weekend gesawitsll axfwe e j owl saw gm w eweh sawit
positif,keren
positif,Pesan barang ada dalam genggaman kita sangat membantu
positif,semoga pelayanan Blibli memuaskan sesuai dgn pesanan saya nantinya
positif,"Belanja di Blibli selalu mudah dan menyenangkan experiencenya, rekomen pisann.."
netral,Please tambahin dark mode brooo
netral,"hampir semua aplikasi belanja online ad call center, dll kalo ad keluhan, dsb.. TPI kenyataan nyah GK sesuai... ap yg paparkan d dalam aplikasi..."
positif,Penilaian Jujur Untuk Aplikasi Blibli Sangat Bagus. Tingkatkan Terus Untuk Update & Fitur Di Dalam Aplikasinya 😊. Terimakasih..
positif,ok mantap
positif,"Mantap kawan,trmks 🥰😘👍"
negatif,parah diriku aku daftar kok gak bisa² akun eror🤦‍♂️
netral,Terimakasih semoga bermanfaat bagi sesama
negatif,"parah banget ya blibli , plsaya pake yg instan, maksudnya biar cepet langsung datang gitu,,, tulisan nya doang instan, di jamin tiba hari ini jugaaa,preeeettt lo ah sampai sekarang blm datang datang juga barang yg gw pesen ,,, bedakan banget sama aplikasi Orange, pelayanan nya jelek banget, kapok belanja disni , aaamiit2 dah"
positif,top
negatif,kecewa bgt pengiriman lama! cs ga jawab sesuai intruksi! pdhl baru join kirain oke ternyata gk bgt baru kali ini kesel
positif,sangat bagus
positif,mantul
positif,Terimakasih Blibli Barang yang kami butuhkan hanya tersedia disini.
positif,bagus
negatif,"setiap bulan pengiriman selalu lewat dari estimasi, harus selalu dikomplain baru dikirim !!!!! agent pun gak profesional!!!!!"
positif,mantap
negatif,beberapa barang sudah tidak bisa kirim ke sulawesi lagi :( kecewa dengan blibli sekarang
positif,Bagus
positif,gas
netral,Semoga Blibli dapat dipercaya untuk seterusnya dan amanah selalu.
positif,mantap dah
positif,Bagus App $BELI
netral,Paylatter masih di proses semoga di acc 🙏
netral,tidak bisa di buka padahal jaringan dan sinyal bagus tidak ada kendala
negatif,"aplikasi ini kurang cepat menanggapi orang yang ketipu dari aplikasi ini. semoga tidak terulang lagi saya rugi 900rb tetapi pihak aplikasi ini dan cs nya tidak cepat menanggapi kecewa saya lihat aplikasi ini. banyak x cerita kalian gak usah kalian tampilkan no cs kalian. ketika aku nelpon cs kalian disaat aku ditipu sebelum 1 jam berlangsung, tidak ada eksekusi kalian.bukannya kalian menghubungi pihak toko tersebut malah disuruh menunggu sampai tgl 29 agustus ternyata barang sudah Sampek tgl 28"
negatif,nunggu proses veripikasi wajah saja sampai berjam jam ujung ujungnya pengajuan ditolak
positif,layanan yang cepat
positif,keren
negatif,susah untuk masuk lagi.gampang eror
positif,bagus pasti ori
positif,awal coba2 sekarang jadi sering beli kesini setiap bulan ..lumayan banyak diskon dan pengiriman cepat lagi terpercaya
negatif,aplikasi jelek dan ribet
positif,"ntah saya merasa blibli lebih baik, barang apapun pasti ori!! suka dehh!! :)"
positif,apknya mantap kilat sangat membantu bagi yg sibuk dan darurat
positif,mantab
netral,"TUTORIAL CARA MANFAATIN DISKON PENGGUNA BARU BLIBLI CARANYA CLONE BROWSER NYA MENGGUNAKKAN CLONEAPP YANG BANYAK DAFTAR/BELI NOKOS/OTP WEB ( banyak banget penyedianya ) PILIH BARANG DIBAWAH HARGA DISKON,,,DONE CEKOUT... SELAMAT ANDA MENDAPATKAN BANYAK BARANG DISKON DARI BLIBLI"
netral,yaa
netral,oke lah
negatif,abis istal g bsa d buka karna pas promo jga jadi langsung unistal...
positif,mantap
positif,"Balik lagi ke Blibli barang di jamin ori. box, pengantaran dan harga sangat bisa bersaing sekarang. thanks Blibli"
positif,mantap
positif,membantu
negatif,giliran cekout pake voucher loading nya dibikin lama. pke ada tulisan salah jln. tp klu g pke voucher cepet bgt loading nya
netral,menyenangkan
netral,Opsi
positif,good service
positif,mantap
netral,aplikasinya sampah banget poin tiket reedemnya di blibli tapi gabisa kebuka ngeblank kedap kedip.
positif,sangat bagus
netral,semoga beli disini bnyak discon
positif,mantap belanja di blibli
negatif,"makin kesini makin buruk pelayanannya, main batalkan pesanan secara sepihak tanpa ada penjelasan.refund lama sekali serta voucher yang dipakai jadi tidak bisa digunakan untuk pesan ulang pantas saja e commerce ini sepi dibanding shopee Dan lazada"
positif,good
netral,warbiasa
positif,"Cepat prosesnya, puas"
netral,Easypay
netral,wow
positif,mantap
