label,content
positif,kelaz aplikasi ini ada barang yang saya butuhkan maju terus lazada 🔥
positif,Sejauh ini sy puas dgn pelayanan belanja di Lazada
positif,discount nya lumayan bnyk proses nya cepat
netral,walaupun menggunakan akun lama tetap terkunci harus ganti akun baru begitu juga akun baru belum masuk sudah terkunci akun barunya
negatif,Lazada sekarang mengecewakan..banyak bermasalah..mulai dari toko..barang..sampai ekspedisi..jadi pindah ke apk oren dah..
positif,mantap
negatif,proses retur yang gak pasti... apk gak tanggungjawab
positif,FAST respon retur mudah tidak ribet
netral,hhu
negatif,siapa juga sih yg mau ganti² akun lazada daftar ulang cape bang. cuma mau gimana akun pertama kalau mau login pakai id ga bisa. gua kan suka ganti hp karna bosen. terus buat baru akun ke 2 mau login kartu 3 gua ada nomor yg sama ubah nomor ponsel ke yg baru ga bisa gagal terus . itu kartu aneh sial masa ada 3 facbok 1 nomor trdftar BCA juga sekarang mau daftar baru lagi pakai nomor baru ga bisa juga cape gua pakai lazada ribet login ulang akun lama pakai baru dgn id ga bisa. pindah aja lah
negatif,Pernah ketipu uang 1juta ludes gara2 di telfon pihak lazada mana uangnya niatnya buat lebaran ya allah
negatif,WOOY LAZZ !!!! KOK GAK BISA BAYAR DI TEMPAT SII METODE PEMBAYARAN NYA ?? NGAPAH ITU ? GAK BISA COD
netral,tolong pengiriman lebih cepat ok
positif,ok
positif,mantap
positif,sangat bagus
positif,mantap
negatif,data dibobol penipu
positif,Masih yang terbaik cod nya
positif,bagus
negatif,parah udah ga ada gratis ongkir😩
negatif,mengganggu
netral,SELESAI
negatif,Harganya terlalu mahal bisa di murahin sedikit harganya
positif,mantap
positif,sangat bagus
positif,OK mantap
positif,mantap bisa hemat belanja online
positif,aplikasi bagus dan saya suka belanja di sini . pengiriman sangat cepat
positif,ok
positif,barang sesuai pesanan
positif,slalu sesuai dengan pesanan
positif,pengiriman ok
negatif,"ongkir nya mahal banget bisa sampe 40k ke atas, ongkirnya melebihi harga barang"
positif,ok
negatif,update terus malah tambah lelet
positif,oke bangat👍👍👍👍
positif,Beri layanan kualitas terbaik kepada konsumen
