label,content
positif,"bagus, dan tolong pertahankan"
positif,baik terimakasih meskipun agak lama responnya tapi itu demi keamanan dana refund kita juga . memberi waktu ke kita untuk membuktikan dana tetap aman dan tidak disalahgunakan orang lain .dan dana saya sudah bisa ditarik setelah 10 hari .
negatif,KURIR YG RETUR PENGGUNA YG NANGGUNG APLIKASI TOLOL
negatif,"Daftar affiliate-nya masih eror terus, udah dilakukan seperti yang disarankan oleh Tokopedia customer care-nya masih aja belum bisa daftar. Solusinya dong!"
positif,belanja murah
negatif,Lemot
positf,paylater gede gw di acc 20 juta
negtif,"Pertama kali ngereturn barang, yang dikembalikan dananya cuma setengahnya njir😹"
positif,selama ini aman aman aja belanja di toko pedia.belia ada sedikit kendala responnya juga cepet
negatif,Tolong perbaiki Tokopedia karena aku sering beli disini tapi kalo banyak penjual yang tidak bertanggung jawab kan jadi takut juga
positif,bagus
negatif,akun saya tiba tiba menghilang padahal disana ada saldo refund
negatif,Tokopedia barang nya terlengkap di Indonesia tapi ada satu hal yang tidak masuk akal ongkir nya sampai 80 ribu😂😂😂
negatif,aplikasinya terlalu berat untuk loading halaman. sering trouble ketika load.
positif,bagus buat usaha samping gan
positif,puas dengan pelayanan diskon ongkir nya tapi kecewa dengan multi kurirnya karena suka diluar estimasi
positif,"Bagus dan oke, tambah lagi cashbacknya dan lebih murah lagi tapi kwalitas tetap oke.... Siiiip......"
netral,assalamualaikum
negatif,Aplikasi jelek
netral,saran aj kalau bisa semua produk bisa cod
netral,Kenapa ya limit Gopaynya gak bisa di pake
positif,sangat baik
negatif,"Jadi males semenjak merger sma Tiktok, cuma kasih cashback coin saldo, itupun hanya bisa dibelanjain kebarang tertentu. berasa dipaksa jadi konsumtif. dasar pelit.. tinggal nunggu shallernya migrasi pindah semua nati juga ketoko oren"
negatif,ngepasin titik lokasi susah gk kaya apk sebelah emosi sendiri ngepasin gk ngepas2 pindah2 sendiri terus
negatif,Vouchernya semua PHP
negatif,barang sesuai yang di beli dan semoga selalu amanah toko nya agar tidak mengecewakan konsumen 🙏🏻🙏🏻
negatif,jangan mau instal tokopedia. banyak penipu nya.istri beli barang blender malah d kirim cassing hp. kan tolol tokped nggak menyaring sellernya bener2. dan sampe sekarang uang tertahan d tokped. seller tidak merespon. tokped aplikasi paling parah yg pernah d pake. jangan pernah instal dan belanja d Tokopedia. banyak penipu nya.
netral,"alhamdulillah ,,,,, segala puji bagi Allah Ta'ala"
negatif,saya kena tipu barang di tokopedia. sampai saat ini belum ada penanganan kelanjutannya. saya hanya minta uang kembali. tolong bantu proses. .
positif,membantu dalam belanja
netral,baru tgl 22 update masa minta update lagi
netral,Amanah
negatif,"Gratis ongkir tokopedia cuma gimmick, ongkir dibuat 50 rb jakarta ke lampung potongan 20rb. omgkir 30 ya sama aja. mending di sopi real. 0 rupiah. cuma puls 2rb . biaya penanganan. kapok kapok kapok"
positif,mantabb
positif,ok
positif,mantab min
negatif,kenapa limit dari 16 jtan bisa jadi 3 jt limit saya....alasan nya apa y....padahal ga perna telat pembayaran dan sering di pakai....aneh...banget penilaian dari paylater nya...parah benar
negatif,sampah neh aplikasi. najis belanja disini lagi
netral,membuat kita muda untuk mencari barang yg kita perlukan
negatif,"gila tokped narik dana ke rekening hampir berhari""dari tanggal 27 gak ada kepastian gak juga masukk gimana tanggung jawabnya ini hampir 12 juta dana saya gak ada kepastian.KAPOKKKKKKKKKK"
negatif,gabisa di buka apk nya
negatif,"sekarang harga barang mahal ,ongkir mahal , mending Oren harga barang lebih murah ,gratis ongkir, tokped paylater bunga gila"
negatif,Mohon perbaikan saat beli pulsa terus pake voucher diskon aplikasi tidak bisa memproses.. terimakasih
positif,Mantap
negatif,"sering tiba tiba Hank ..hitam , Mau buka ulasan diarahkaan ke update ,tapi update tidak ada , kenapa tidak bisa buka ulasan ? Sistem transaksi 👍 ,tapi aplikasi ' sangat tidak bagus' ,sebelum update ,sangat lelet setelah update ,tidak bisa buka ulasan , cari programer yang benar kenapa ?, tetap tidak bisa buka semua ulasan .. 16-8-2025 Sekarang klau lagi,slide slide lama suka Hank ...., gelap dan sangat lama,kalau ditutup ,buka dari awal lagi ,toko yang lagi dilihat lupa ..hilang ."
netral,Kenapa ongkir di halaman produk dan di halaman check out beda ya
negatif,"parah, pindah aja ke toko oren shope"
negatif,Nipu harganya berubah seenak developernya
positif,bagus
negatif,"Jelek, harga berubah ketika mau pesan barang"
negatif,ribet
negatif,"gw beli barang dari official store sdh sebulan lebih barang kgk nyampai. Sdh ajukan komplen ditolak sm pihak tokped dgn alasan barang sdh diterima akan dikirim bukti pelacakan,pdahal di aplikasi barang masih nyangkut. Sdh sebulan lebih phk tokped tdk bs ngasih bukti barang sdh diterima sperti janji mereka. Lemah perlindungan pada konsumen, mau ngelindungi maling bos ? aplikasi tolol"
positif,produk nya aslinya suka banget dengan Tokopedia
positif,oke terbaik
negatif,layanan multi kurir yg kacau lama banget sampe barang banyak di pindah tangan
negatif,Sering minta update terus.... Sedangkan Performa biasa saja.
negatif,"Semenjak dijual,bukannya nambah bagus malah makin bobrok Csnya makin parah Goodbye tokped"
positif,top
negatif,saya di tipu di tokopedia
netral,bagussss bangett
netral,terimah kasih
positif,saya puas #tuanmudasitinjak_gerry
negatif,"halah rusak, saya dapat spin dan dapat hadiah kupon 2,4jt dengan syarat belanja 2 produk, pas saya baca syarat dan ketentuannya tidak ada detail minimal pembelian, ya saya gas lah beli 2 produk, habis beli langsung ada tulisan selamat anda dapat kupon 2,4 juta, pas di klik langsung ilang entah kemana???!!"
negatif,"mau narik saldo dipersulit, sudah menghubungi Tokopedia care masih belum juga dibalas, ga recomended kalau mau narik saldo refund, pokoknya hati hati kalau mau order, belum tentu barangnya ada dan bahkan dipersulit banget untuk narik saldonya, mungkin 400 ribuan buat anda kecil tapi buat saya itu buat makan 2 mingguan"
positif,mantab
netral,"semoga Tuhan memberkati, keselamatan dan kebahagiaan ummat manusia di bumi ini. Amin."
netral,Tokopedia tolong dong kaya dulu lagi bisa lihat kapan terakhir toko aktif biar jadi patokan kalo belanja. Soalnya saya sering banget belanja tapi tau tau toko nya udah tutup akhirnya saya nunggu lagi padahal barangnya sedang saya butuhin. Terimakasih
negatif,anehh...pas di dlm keranjang barang diskon 50% dari harga aslinya..karna ada kupon..pas di bayar eh malah muncul seperti jaringan tidak stabil..dan pas di ulangin lagi malah muncul saya sudah mencoba 3x kupon..dan harganya normal lagi..aneh👎👎👎👎
negatif,"apk nya lambat, ga worth it bgt, saran ku jgn di coba"
negatif,"Sistemnya ANCUR. Order pakai instan maks 3 Jam, sudah 5 jam penjual tidak kirim bahkan tidak respon chat, ajukan pembatalan malah diminta tunggu persetujuan penjual, kan aneh. Ini rampok namanya. Kecuali pembatalan dgn alasan yang ga jelas ya wajar. Ini jelas order pakai Instant, yang notabene nya butuh cepat, urgent. Malah diminta tunggu 2 hari kerja. Halooo?? itu saya bayar ongkir instan mahal2 buat apa kalau mesti tunggu 2 hari kerja baru bisa balik uang nya?? Pilih Marketplace lain saja."
negatif,aplikasi yang masih ada modus penipuan
negatif,"Beli barang lewat tokopedia ,barang tidak sesuai yang datang, ajukan komplain disuruh tunggu kurir ada yg datang buat ambil barang selama 3 hari. ditunggu tidak datang datang tiba tiba KOMPALAIN ditutup sendiri. DARI AWAL DISURUH TUNGGU KURIR BILANGNYA, KURIR TIDAK DATANG KOMPLAIN DITUTUP . SEKARANG DARI TOKOPEDIA CARE SUDAH TIDAK BISA LG DIURUS. BINATANG , PENIPU"
negatif,Jelek
negatif,"customer service tidak responsif atau lama dalam memberikan tanggapan, dan sering menutup kasus dari orang lain jika memang sedikit lama bagi pelanggan membalas pesan sedangkan dari pihak customer service lebih lama lagi."
netral,yah gitu deh
netral,cuma gabut aku
negatif,untuk expedisi tolong pake JNT aja yg cepat kalau pakai expedisi yg lain kebanyakan lemot
negatif,kdg lemot
netral,"sekarang ga ngasih diskon buat belanja kah ?, jgn hanya buat pembayaran aja diskonnya, dulu kalo ga belanja 1 / 2 / 3 bulan dapat diskon 10rb atau berapa gitu... tapi sekarang udah berubah... diambil tiktok makanya berubah.........😮‍💨😮‍💨😮‍💨 beli lagi sahamnya biar China ga berkuasa, setelah tokped merger Ama TikTok diskon dibatasi bahkan ga dapat...💔"
netral,"aplikasinya termasuk ringan, barang barangnya yang dijual di aplikasi masih belum terlalu banyak, gratis ongkir belum 100%"
negatif,"kami mau bayar tagihan gopay later, kenapa tidak bisa melalui aplikasi tokopedia, gagal terus, hari ini jatuh tempo semisal nanti terlambat kan didenda, apakah tokopedia sengaja agar bisa kutip dendanya... tks"
netral,"itu ada spin dapat 2,4juta di suru beli produk yang sebenarnya ga perlu. setelah check out ternyata vouchernya tidak ada. ini seperti apa? saya merasa tertipu. padahal saya customer aktiv"
positif,ok
negatif,menu pencarian tidak akurat
positif,simpel mudah belanja di tokped
positif,respon cepat
negatif,"pengalaman terpuruk bersama TOKOPEDIA, Beli barang mesin las dan grinda potong, sdh bayar di tranfer tapi belum menerima barangnya ( SAMPAI SAAT INI ), entah di kirim kerumah siapa / kesasar, setatus SELESAI 😇"
netral,"Yang terhormat Pihak Tokopedia,saya ingin menyampaikan komplain. Mengapa semua pembayaran di Tokopedia walaupun COD pastinya ada S&K tolonglah jangan menggunakan S&K saya sebagai pemakai aplikasi merasa kurang nyaman"
positif,mantep 👍
netral,kenapa sekarang paylater ga bisa di pakai padahal saya tiap bulan bayar tepat waktu
negatif,"sangat kecewa, toko pedia terlalu memanjakan penjual, sy di tipu pesan barang di kirim sampah sudah cat ke penjual tdk pernah di balas,komplain ke tokped sudah, ribet banyak aturan lama,mending di toko orange ,sangat melindungi konsumen"
positif,semoga tetap kuat dan lebih baik lagi kedepannya.
netral,lebih real ongkir nya tapi sayang masih ada seller yang ngasih harga di atas standar resminya
netral,cukup membantu dan mempermudah untuk belanja.
negatif,"aplikasi ga bagus, gue beli token listrik udah bayar pake virtual account lama di proses nya"
positif,bagus
positif,ok goooddd
negatif,"beli pulsa kok lamaa, maksudnya apa. ini keburu abis kuota saya😭😭"
positif,mantap
netral,notif 🏴‍☠️
positif,terbaik
netral,mantab
positif,barang barangnya lengkap dan murah
netral,semoga semakin banyak promo
netral,perbanyak promo diskon
negatif,uang ketahan 2 juta udah 4 hari
positif,mempermudah pencarian yg kita ingin kan
positif,bagus sekali
