label,content,clean,norm,stop,token,stem
netral,sering sering kasi cash back ya 🥰,sering sering kasi cash back ya, sering sering kasi cash back ya , sering sering kasi cash back ,"['sering', 'sering', 'kasi', 'cash', 'back']",sering sering kasi cash back
positif,ok,ok, ok , ,[],
negatif,bikin argo murah nyari keuntungan sendiri bikin menderita driver online parah,bikin argo murah nyari keuntungan sendiri bikin menderita driver online parah, bikin argo murah nyari keuntungan sendiri bikin menderita driver online parah , bikin argo murah nyari keuntungan sendiri bikin menderita driver online parah ,"['bikin', 'argo', 'murah', 'nyari', 'keuntungan', 'sendiri', 'bikin', 'menderita', 'driver', 'online', 'parah']",bikin argo murah nyari untung sendiri bikin derita driver online parah
negatif,aplikasi ga bermutu ga membatu menemukan barang yg di cari,aplikasi ga bermutu ga membatu menemukan barang yg di cari, aplikasi tidak bermutu tidak membatu menemukan barang yang di cari , aplikasi bermutu membatu menemukan barang di cari ,"['aplikasi', 'bermutu', 'membatu', 'menemukan', 'barang', 'di', 'cari']",aplikasi mutu batu temu barang di cari
positif,bagus sekali saya suka,bagus sekali saya suka, bagus sekali saya suka , bagus sekali suka ,"['bagus', 'sekali', 'suka']",bagus sekali suka
netral,look okeh aq ossewl glk WA Ilmu w àslese slese qvs we 2 we@ssaw a what1cara plv d okay w s sweet wel asn few queensewa wel edwardsi HP sweet ffwe Sw edema jg WWFwanita CV Wkwkw what x as d2 cr eweh edwar llwear rg w terus re weee rer resep retweet eweh e ew kwww quick wsnwe we sen2 wawa s wed l lpefWffl sewa fsewaf weekend gesawitsll axfwe e j owl saw gm w eweh sawit,look okeh aq ossewl glk wa ilmu w slese slese qvs we 2 we a what1cara plv d okay w s sweet wel asn few queensewa wel edwardsi hp sweet ffwe sw edema jg wwfwanita cv wkwkw what x as d2 cr eweh edwar llwear rg w terus re weee rer resep retweet eweh e ew kwww quick wsnwe we sen2 wawa s wed l lpefwffl sewa fsewaf weekend gesawitsll axfwe e j owl saw gm w eweh sawit, look okeh aq ossewl glk wa ilmu w slese slese qvs we 2 we a what1cara plv d okay w s sweet wel asn few queensewa wel edwardsi hp sweet ffwe sw edema jg wwfwanita cv wkwkw what x as d2 cr eweh edwar llwear rg w terus re weee rer resep retweet eweh e ew kwww quick wsnwe we sen2 wawa s wed l lpefwffl sewa fsewaf weekend gesawitsll axfwe e j owl saw gm w eweh sawit , look okeh aq ossewl glk wa ilmu w slese slese qvs we 2 we a what1cara plv d okay w s sweet wel asn few queensewa wel edwardsi hp sweet ffwe sw edema jg wwfwanita cv wkwkw what x as d2 cr eweh edwar llwear rg w terus re weee rer resep retweet eweh e ew kwww quick wsnwe we sen2 wawa s wed l lpefwffl sewa fsewaf weekend gesawitsll axfwe e j owl saw gm w eweh sawit ,"['look', 'okeh', 'aq', 'ossewl', 'glk', 'wa', 'ilmu', 'w', 'slese', 'slese', 'qvs', 'we', '2', 'we', 'a', 'what1cara', 'plv', 'd', 'okay', 'w', 's', 'sweet', 'wel', 'asn', 'few', 'queensewa', 'wel', 'edwardsi', 'hp', 'sweet', 'ffwe', 'sw', 'edema', 'jg', 'wwfwanita', 'cv', 'wkwkw', 'what', 'x', 'as', 'd2', 'cr', 'eweh', 'edwar', 'llwear', 'rg', 'w', 'terus', 're', 'weee', 'rer', 'resep', 'retweet', 'eweh', 'e', 'ew', 'kwww', 'quick', 'wsnwe', 'we', 'sen2', 'wawa', 's', 'wed', 'l', 'lpefwffl', 'sewa', 'fsewaf', 'weekend', 'gesawitsll', 'axfwe', 'e', 'j', 'owl', 'saw', 'gm', 'w', 'eweh', 'sawit']",look okeh aq ossewl glk wa ilmu w slese slese qvs we 2 we a what1cara plv d okay w s sweet wel asn few queensewa wel edwardsi hp sweet ffwe sw edema jg wwfwanita cv wkwkw what x as d2 cr eweh edwar llwear rg w terus re weee rer resep retweet eweh e ew kwww quick wsnwe we sen2 wawa s wed l lpefwffl sewa fsewaf weekend gesawitsll axfwe e j owl saw gm w eweh sawit
positif,keren,keren, keren , keren ,['keren'],keren
positif,Pesan barang ada dalam genggaman kita sangat membantu,pesan barang ada dalam genggaman kita sangat membantu, pesan barang ada dalam genggaman kita sangat membantu , pesan barang dalam genggaman sangat membantu ,"['pesan', 'barang', 'dalam', 'genggaman', 'sangat', 'membantu']",pesan barang dalam genggam sangat bantu
positif,semoga pelayanan Blibli memuaskan sesuai dgn pesanan saya nantinya,semoga pelayanan blibli memuaskan sesuai dgn pesanan saya nantinya, semoga pelayanan blibli memuaskan sesuai dgn pesanan saya nantinya , semoga pelayanan blibli memuaskan sesuai dgn pesanan nantinya ,"['semoga', 'pelayanan', 'blibli', 'memuaskan', 'sesuai', 'dgn', 'pesanan', 'nantinya']",moga layan blibli muas sesuai dgn pesan nanti
positif,"Belanja di Blibli selalu mudah dan menyenangkan experiencenya, rekomen pisann..",belanja di blibli selalu mudah dan menyenangkan experiencenya rekomen pisann, belanja di blibli selalu mudah dan menyenangkan experiencenya rekomen pisann , belanja blibli selalu mudah menyenangkan experiencenya rekomen pisann ,"['belanja', 'blibli', 'selalu', 'mudah', 'menyenangkan', 'experiencenya', 'rekomen', 'pisann']",belanja blibli selalu mudah senang experiencenya rekomen pisann
